# Lines starting with #' are comments. Comment lines must form a continuous 
# block at the beginning of this file. 
# The last comment line is not really a comment. It must contain the names of 
# the variables that are used in the code. 
# The data has to start in the following line.        
# 
# List of variables: 
# TS: timestep 
# OHair1: OH-readical conc. based factor to multiply with avg. degradation rate in upper air 
# OHair2: OH-readical conc. based factor to multiply with avg. degradation rate in lower air 
# Based on data from: 
# Spivakovsky, C. M., Logan J. A., Montzka S. A., Balkanski Y. J., Foreman-Fowler M., 
# Jones D. B. A., Horowitz L.W., Fusco A. C., Brenninkmeijer C. A. M., Prather M. J., 
# Wofsy S. C., McElroy M. B., 2000, Three-dimensional climatological distribution of 
# tropospheric OH: Update and evaluation. Journal of geophysical research, Vol. 105, 
# No. D7, pp 8931-8980. 
# 
# precip: monthly average precipitation [m/h] 
# stwet: average length of rain events [h] 
# stdry: average length of dry spells [h] 
# tair1: temperature upper air [K] 
# tair2: temperature lower air [K] 
# tocean: temperature ocean surface [K] 
# tland: temperature land surface [K] 
# h1: Average upper air compartment height [m] 
# h2: Average lower air compartment height [m] 
# h5: Average ocean compartment depth [m] 
# runoffwater: water runoff 
# tspe: time since plowing event [month] 
# perc8: percentage of ocean covered by Sea Ice [-] 
# 
#CELL TS OHair1 OHair2 precip stwet stdry tair1 tair2 tocean tland h1 h2 h5 mixing12 mixing21 runoff6water tspe perc8 
1 1 0.00154107107474559 0.00159553976504257 2.19753815963486e-05 14.8468620300293 63.0689064025879 236.847846221924 250.336112213135 271.250228881836 -999.99 5013.20610351562 1089.24595947266 154.001306915283 2.451329589 2.94001002 0 2190 0.980726539611816
1 2 0.00432757409571563 0.00304252343668732 2.09025752201342e-05 16.2577311635017 89.1135903358459 236.45888671875 250.11010055542 271.250218200684 -999.99 5000.89279785156 1088.24800415039 157.688301086426 2.0 3.64318848 0 2920 0.981785011291504
1 3 0.0497737254361588 0.0280555579487008 1.8792094674609e-05 12.9923992276192 50.2544114112854 237.326161193848 251.191194915771 271.250210571289 -999.99 5023.50676269531 1093.03638916016 157.957473754883 3.021668598 2.651442699 0 3650 0.983469123840332
1 4 0.239253515354363 0.182145200722837 1.49517759632545e-05 13.3333934187889 76.7938797950745 241.070404052734 257.196548461914 271.250193786621 -999.99 5101.65881347656 1119.31776123047 145.977716827393 2.390486314 3.390951712 0 4380 0.981648933410645
1 5 0.734019126593865 0.78596645343548 1.99271268593293e-05 10.9424181699753 37.2672213077545 247.348117828369 266.406596374512 271.250076293945 -999.99 5221.44931640625 1159.29602050781 131.594352340698 2.091032001 2.98911984 0 5110 0.973283340454102
1 6 1.10100484719672 0.752911082505709 3.16545886744279e-05 12.0063642263412 20.5912427186966 251.846172332764 272.568714904785 271.250061035156 -999.99 5307.88159179688 1186.74627075195 128.085566329956 2.0 3.586806799 0 5840 0.953968425750732
1 7 1.14395176878063 0.776593936336984 4.49013553225086e-05 14.1920199394226 14.8649736404419 253.607061004639 273.117974853516 271.250144958496 -999.99 5347.03610839844 1188.8690246582 123.737920761108 2.0 3.248183037 0 6570 0.890020641326904
1 8 0.602041780871077 0.340314098183356 4.35726886098564e-05 17.4481560707092 15.9209528207779 251.462470245361 270.451399230957 271.25023651123 -999.99 5304.73776855469 1176.51912841797 121.94188117981 2.0 3.578534533 0 7300 0.836786766052246
1 9 0.173159816182734 0.122563932333539 3.3301463126918e-05 15.5993737697601 14.3273110151291 246.886498260498 264.797727966309 271.250256347656 -999.99 5213.61433105469 1151.35620117188 126.211768722534 2.0 4.435938119 0 8030 0.874624038696289
1 10 0.0163208602324524 0.0120988527814006 2.62829656458052e-05 13.9580391407013 31.6330024719238 241.946559906006 258.30737991333 271.250473022461 -999.99 5116.24670410156 1123.37578735352 134.422936630249 2.81382489 2.993413706 0 8760 0.941643199920654
